Model,MAE,RMSE,MAPE,MAPE_Excluded_Rows,Crop,Market,N_Train,N_Test,Train_Start,Train_End,Test_Start,Test_End,Variety_Used
Moving_Average_7Day,44.693,52.706,4.498,0,Potato,Nashik,106,27,2026-02-26,2026-06-13,2026-06-14,2026-07-11,Local
Linear_Regression,37.82,46.49,3.947,0,Potato,Nashik,106,27,2026-02-26,2026-06-13,2026-06-14,2026-07-11,Local
Naive_Previous_Price,18.63,25.179,3.779,0,Potato,Pune,107,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Moving_Average_3Day,27.086,32.242,5.48,0,Potato,Pune,107,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Moving_Average_7Day,37.974,46.487,7.697,0,Potato,Pune,107,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Linear_Regression,27.768,33.803,5.81,0,Potato,Pune,107,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Naive_Previous_Price,22.741,27.504,3.359,0,Potato,Satara,106,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Moving_Average_3Day,22.383,28.002,3.306,0,Potato,Satara,106,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Moving_Average_7Day,31.762,38.505,4.715,0,Potato,Satara,106,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Linear_Regression,30.996,37.292,4.626,0,Potato,Satara,106,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,Local
Naive_Previous_Price,57.107,69.378,1.304,0,Soybean,Kolhapur,114,28,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Moving_Average_3Day,66.369,83.548,1.516,0,Soybean,Kolhapur,114,28,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Moving_Average_7Day,83.403,102.289,1.896,0,Soybean,Kolhapur,114,28,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Linear_Regression,59.529,75.971,1.353,0,Soybean,Kolhapur,114,28,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Naive_Previous_Price,65.379,80.764,1.522,0,Soybean,Satara,115,29,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Moving_Average_3Day,76.517,102.066,1.768,0,Soybean,Satara,115,29,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Moving_Average_7Day,101.966,129.137,2.366,0,Soybean,Satara,115,29,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Linear_Regression,61.64,82.014,1.43,0,Soybean,Satara,115,29,2026-02-16,2026-06-12,2026-06-13,2026-07-11,Yellow
Naive_Previous_Price,67.297,80.675,6.615,0,Tomato,Kolhapur,146,37,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Moving_Average_3Day,84.721,105.91,8.13,0,Tomato,Kolhapur,146,37,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Moving_Average_7Day,113.973,142.426,10.907,0,Tomato,Kolhapur,146,37,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Linear_Regression,66.447,79.352,6.639,0,Tomato,Kolhapur,146,37,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Naive_Previous_Price,73.944,92.179,4.97,0,Tomato,Nashik,144,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Moving_Average_3Day,102.398,120.629,7.185,0,Tomato,Nashik,144,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Moving_Average_7Day,158.131,188.402,11.411,0,Tomato,Nashik,144,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Linear_Regression,105.134,129.834,7.958,0,Tomato,Nashik,144,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Naive_Previous_Price,67.722,80.939,11.027,0,Tomato,Pune,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Moving_Average_3Day,76.176,102.753,11.586,0,Tomato,Pune,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Moving_Average_7Day,95.532,134.768,13.62,0,Tomato,Pune,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Linear_Regression,156.478,185.587,23.461,0,Tomato,Pune,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Naive_Previous_Price,84.472,100.619,4.549,0,Tomato,Sangli,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Moving_Average_3Day,110.296,128.806,5.991,0,Tomato,Sangli,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Moving_Average_7Day,159.063,181.719,8.537,0,Tomato,Sangli,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Linear_Regression,102.991,120.17,5.494,0,Tomato,Sangli,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,Hybrid
Naive_Previous_Price,80.806,98.351,4.979,0,Tomato,Satara,146,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Moving_Average_3Day,94.898,115.178,5.82,0,Tomato,Satara,146,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Moving_Average_7Day,106.702,133.377,6.568,0,Tomato,Satara,146,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Linear_Regression,92.923,112.885,5.595,0,Tomato,Satara,146,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,Hybrid
Naive_Previous_Price,15.95,19.891,0.629,0,Wheat,Kolhapur,81,20,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
Moving_Average_3Day,19.3,23.891,0.763,0,Wheat,Kolhapur,81,20,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
Moving_Average_7Day,25.314,31.317,1.003,0,Wheat,Kolhapur,81,20,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
Linear_Regression,25.944,32.393,1.027,0,Wheat,Kolhapur,81,20,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
Naive_Previous_Price,18.667,22.061,0.724,0,Wheat,Pune,83,21,2025-06-22,2025-09-13,2025-09-14,2025-10-04,Lokwan
Moving_Average_3Day,20.603,26.929,0.801,0,Wheat,Pune,83,21,2025-06-22,2025-09-13,2025-09-14,2025-10-04,Lokwan
Moving_Average_7Day,32.565,42.774,1.268,0,Wheat,Pune,83,21,2025-06-22,2025-09-13,2025-09-14,2025-10-04,Lokwan
Linear_Regression,39.638,45.145,1.55,0,Wheat,Pune,83,21,2025-06-22,2025-09-13,2025-09-14,2025-10-04,Lokwan
Naive_Previous_Price,13.429,15.492,0.624,0,Wheat,Satara,82,21,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
Moving_Average_3Day,14.984,18.065,0.694,0,Wheat,Satara,82,21,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
Moving_Average_7Day,21.333,26.754,0.985,0,Wheat,Satara,82,21,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
Linear_Regression,37.393,45.206,1.725,0,Wheat,Satara,82,21,2025-06-21,2025-09-13,2025-09-14,2025-10-04,Lokwan
