Crop,Market,Variety_Used,Model,Scope,MAE,RMSE,MAPE,N_Train,N_Test,Test_Start,Test_End
Onion,Sangli,Local,Linear_Regression,crop_specific,25.234,31.872,1.051,162,41,2026-06-01,2026-07-11
Onion,Sangli,Local,Random_Forest_Crop_Specific,crop_specific,27.146,34.71,1.137,162,41,2026-06-01,2026-07-11
Onion,Sangli,Local,XGBoost_Crop_Specific,crop_specific,31.631,42.139,1.323,162,41,2026-06-01,2026-07-11
Onion,Sangli,Local,Random_Forest_Combined,combined,21.856,27.265,0.908,162,41,2026-06-01,2026-07-11
Onion,Sangli,Local,XGBoost_Combined,combined,22.635,28.378,0.943,162,41,2026-06-01,2026-07-11
Onion,Satara,Local,Naive_Previous_Price,naive,16.6,20.864,0.693,158,40,2026-06-02,2026-07-11
Onion,Satara,Local,Moving_Average_3Day,naive,17.958,22.378,0.749,158,40,2026-06-02,2026-07-11
Onion,Satara,Local,Linear_Regression,crop_specific,21.927,27.043,0.915,158,40,2026-06-02,2026-07-11
Onion,Satara,Local,Random_Forest_Crop_Specific,crop_specific,41.968,54.647,1.727,158,40,2026-06-02,2026-07-11
Onion,Satara,Local,XGBoost_Crop_Specific,crop_specific,71.674,87.809,2.955,158,40,2026-06-02,2026-07-11
Onion,Satara,Local,Random_Forest_Combined,combined,21.659,26.341,0.907,158,40,2026-06-02,2026-07-11
Onion,Satara,Local,XGBoost_Combined,combined,21.877,25.869,0.917,158,40,2026-06-02,2026-07-11
Potato,Nashik,Local,Naive_Previous_Price,naive,19.926,24.786,2.02,106,27,2026-06-14,2026-07-11
Potato,Nashik,Local,Moving_Average_3Day,naive,27.938,35.539,2.834,106,27,2026-06-14,2026-07-11
Potato,Nashik,Local,Linear_Regression,crop_specific,37.82,46.49,3.947,106,27,2026-06-14,2026-07-11
Potato,Nashik,Local,Random_Forest_Crop_Specific,crop_specific,24.407,31.064,2.527,106,27,2026-06-14,2026-07-11
Potato,Nashik,Local,XGBoost_Crop_Specific,crop_specific,26.797,33.601,2.775,106,27,2026-06-14,2026-07-11
Potato,Nashik,Local,Random_Forest_Combined,combined,23.273,28.178,2.349,106,27,2026-06-14,2026-07-11
Potato,Nashik,Local,XGBoost_Combined,combined,21.319,27.92,2.161,106,27,2026-06-14,2026-07-11
Potato,Pune,Local,Naive_Previous_Price,naive,18.63,25.179,3.779,107,27,2026-06-15,2026-07-11
Potato,Pune,Local,Moving_Average_3Day,naive,27.086,32.242,5.48,107,27,2026-06-15,2026-07-11
Potato,Pune,Local,Linear_Regression,crop_specific,27.768,33.803,5.81,107,27,2026-06-15,2026-07-11
Potato,Pune,Local,Random_Forest_Crop_Specific,crop_specific,136.486,144.974,28.942,107,27,2026-06-15,2026-07-11
Potato,Pune,Local,XGBoost_Crop_Specific,crop_specific,125.747,134.515,26.712,107,27,2026-06-15,2026-07-11
Potato,Pune,Local,Random_Forest_Combined,combined,35.357,43.088,7.447,107,27,2026-06-15,2026-07-11
Potato,Pune,Local,XGBoost_Combined,combined,72.37,87.253,14.89,107,27,2026-06-15,2026-07-11
Potato,Satara,Local,Naive_Previous_Price,naive,22.741,27.504,3.359,106,27,2026-06-15,2026-07-11
Potato,Satara,Local,Moving_Average_3Day,naive,22.383,28.002,3.306,106,27,2026-06-15,2026-07-11
Potato,Satara,Local,Linear_Regression,crop_specific,30.996,37.292,4.626,106,27,2026-06-15,2026-07-11
Potato,Satara,Local,Random_Forest_Crop_Specific,crop_specific,68.306,74.5,10.268,106,27,2026-06-15,2026-07-11
Potato,Satara,Local,XGBoost_Crop_Specific,crop_specific,76.786,82.934,11.525,106,27,2026-06-15,2026-07-11
Potato,Satara,Local,Random_Forest_Combined,combined,24.659,30.56,3.66,106,27,2026-06-15,2026-07-11
Potato,Satara,Local,XGBoost_Combined,combined,24.264,30.541,3.591,106,27,2026-06-15,2026-07-11
Soybean,Kolhapur,Yellow,Naive_Previous_Price,naive,57.107,69.378,1.304,114,28,2026-06-13,2026-07-11
Soybean,Kolhapur,Yellow,Moving_Average_3Day,naive,66.369,83.548,1.516,114,28,2026-06-13,2026-07-11
Soybean,Kolhapur,Yellow,Linear_Regression,crop_specific,59.529,75.971,1.353,114,28,2026-06-13,2026-07-11
Soybean,Kolhapur,Yellow,Random_Forest_Crop_Specific,crop_specific,228.371,254.114,5.17,114,28,2026-06-13,2026-07-11
Soybean,Kolhapur,Yellow,XGBoost_Crop_Specific,crop_specific,289.797,311.117,6.577,114,28,2026-06-13,2026-07-11
Soybean,Kolhapur,Yellow,Random_Forest_Combined,combined,63.215,82.989,1.434,114,28,2026-06-13,2026-07-11
Soybean,Kolhapur,Yellow,XGBoost_Combined,combined,89.333,111.083,2.024,114,28,2026-06-13,2026-07-11
Soybean,Satara,Yellow,Naive_Previous_Price,naive,65.379,80.764,1.522,115,29,2026-06-13,2026-07-11
Soybean,Satara,Yellow,Moving_Average_3Day,naive,76.517,102.066,1.768,115,29,2026-06-13,2026-07-11
Soybean,Satara,Yellow,Linear_Regression,crop_specific,61.64,82.014,1.43,115,29,2026-06-13,2026-07-11
Soybean,Satara,Yellow,Random_Forest_Crop_Specific,crop_specific,59.38,77.679,1.382,115,29,2026-06-13,2026-07-11
Soybean,Satara,Yellow,XGBoost_Crop_Specific,crop_specific,64.069,81.035,1.485,115,29,2026-06-13,2026-07-11
Soybean,Satara,Yellow,Random_Forest_Combined,combined,60.383,77.282,1.405,115,29,2026-06-13,2026-07-11
Soybean,Satara,Yellow,XGBoost_Combined,combined,62.054,80.603,1.435,115,29,2026-06-13,2026-07-11
Tomato,Kolhapur,Hybrid,Naive_Previous_Price,naive,67.297,80.675,6.615,146,37,2026-06-04,2026-07-11
Tomato,Kolhapur,Hybrid,Moving_Average_3Day,naive,84.721,105.91,8.13,146,37,2026-06-04,2026-07-11
Tomato,Kolhapur,Hybrid,Linear_Regression,crop_specific,66.447,79.352,6.639,146,37,2026-06-04,2026-07-11
Tomato,Kolhapur,Hybrid,Random_Forest_Crop_Specific,crop_specific,76.446,92.814,7.299,146,37,2026-06-04,2026-07-11
Tomato,Kolhapur,Hybrid,XGBoost_Crop_Specific,crop_specific,89.79,110.208,8.479,146,37,2026-06-04,2026-07-11
Tomato,Kolhapur,Hybrid,Random_Forest_Combined,combined,73.919,94.738,7.164,146,37,2026-06-04,2026-07-11
Tomato,Kolhapur,Hybrid,XGBoost_Combined,combined,82.458,104.366,8.019,146,37,2026-06-04,2026-07-11
Tomato,Nashik,Hybrid,Naive_Previous_Price,naive,73.944,92.179,4.97,144,36,2026-06-04,2026-07-11
Tomato,Nashik,Hybrid,Moving_Average_3Day,naive,102.398,120.629,7.185,144,36,2026-06-04,2026-07-11
Tomato,Nashik,Hybrid,Linear_Regression,crop_specific,105.134,129.834,7.958,144,36,2026-06-04,2026-07-11
Tomato,Nashik,Hybrid,Random_Forest_Crop_Specific,crop_specific,298.849,404.456,25.986,144,36,2026-06-04,2026-07-11
Tomato,Nashik,Hybrid,XGBoost_Crop_Specific,crop_specific,414.422,542.077,35.546,144,36,2026-06-04,2026-07-11
Tomato,Nashik,Hybrid,Random_Forest_Combined,combined,84.341,105.135,5.839,144,36,2026-06-04,2026-07-11
Tomato,Nashik,Hybrid,XGBoost_Combined,combined,82.768,104.463,5.697,144,36,2026-06-04,2026-07-11
Tomato,Pune,Hybrid,Naive_Previous_Price,naive,67.722,80.939,11.027,144,36,2026-06-06,2026-07-11
Tomato,Pune,Hybrid,Moving_Average_3Day,naive,76.176,102.753,11.586,144,36,2026-06-06,2026-07-11
Tomato,Pune,Hybrid,Linear_Regression,crop_specific,156.478,185.587,23.461,144,36,2026-06-06,2026-07-11
Tomato,Pune,Hybrid,Random_Forest_Crop_Specific,crop_specific,79.379,102.979,12.774,144,36,2026-06-06,2026-07-11
Tomato,Pune,Hybrid,XGBoost_Crop_Specific,crop_specific,94.647,118.989,14.58,144,36,2026-06-06,2026-07-11
Tomato,Pune,Hybrid,Random_Forest_Combined,combined,71.342,89.542,11.719,144,36,2026-06-06,2026-07-11
Tomato,Pune,Hybrid,XGBoost_Combined,combined,81.993,102.645,13.61,144,36,2026-06-06,2026-07-11
Tomato,Sangli,Hybrid,Naive_Previous_Price,naive,84.472,100.619,4.549,144,36,2026-06-06,2026-07-11
Tomato,Sangli,Hybrid,Moving_Average_3Day,naive,110.296,128.806,5.991,144,36,2026-06-06,2026-07-11
Tomato,Sangli,Hybrid,Linear_Regression,crop_specific,102.991,120.17,5.494,144,36,2026-06-06,2026-07-11
Tomato,Sangli,Hybrid,Random_Forest_Crop_Specific,crop_specific,126.741,150.1,6.769,144,36,2026-06-06,2026-07-11
Tomato,Sangli,Hybrid,XGBoost_Crop_Specific,crop_specific,173.678,199.214,9.195,144,36,2026-06-06,2026-07-11
Tomato,Sangli,Hybrid,Random_Forest_Combined,combined,92.953,106.342,4.994,144,36,2026-06-06,2026-07-11
Tomato,Sangli,Hybrid,XGBoost_Combined,combined,104.866,123.179,5.672,144,36,2026-06-06,2026-07-11
Tomato,Satara,Hybrid,Naive_Previous_Price,naive,80.806,98.351,4.979,146,36,2026-06-04,2026-07-11
Tomato,Satara,Hybrid,Moving_Average_3Day,naive,94.898,115.178,5.82,146,36,2026-06-04,2026-07-11
Tomato,Satara,Hybrid,Linear_Regression,crop_specific,92.923,112.885,5.595,146,36,2026-06-04,2026-07-11
Tomato,Satara,Hybrid,Random_Forest_Crop_Specific,crop_specific,87.839,103.858,5.42,146,36,2026-06-04,2026-07-11
Tomato,Satara,Hybrid,XGBoost_Crop_Specific,crop_specific,87.277,107.341,5.395,146,36,2026-06-04,2026-07-11
Tomato,Satara,Hybrid,Random_Forest_Combined,combined,77.418,97.934,4.763,146,36,2026-06-04,2026-07-11
Tomato,Satara,Hybrid,XGBoost_Combined,combined,78.397,103.196,4.763,146,36,2026-06-04,2026-07-11
Wheat,Kolhapur,Lokwan,Naive_Previous_Price,naive,15.95,19.891,0.629,81,20,2025-09-14,2025-10-04
Wheat,Kolhapur,Lokwan,Moving_Average_3Day,naive,19.3,23.891,0.763,81,20,2025-09-14,2025-10-04
Wheat,Kolhapur,Lokwan,Linear_Regression,crop_specific,25.944,32.393,1.027,81,20,2025-09-14,2025-10-04
Wheat,Kolhapur,Lokwan,Random_Forest_Crop_Specific,crop_specific,42.054,48.293,1.673,81,20,2025-09-14,2025-10-04
Wheat,Kolhapur,Lokwan,XGBoost_Crop_Specific,crop_specific,44.354,53.361,1.769,81,20,2025-09-14,2025-10-04
Wheat,Kolhapur,Lokwan,Random_Forest_Combined,combined,15.87,19.672,0.625,81,20,2025-09-14,2025-10-04
Wheat,Kolhapur,Lokwan,XGBoost_Combined,combined,16.703,20.621,0.658,81,20,2025-09-14,2025-10-04
Wheat,Pune,Lokwan,Naive_Previous_Price,naive,18.667,22.061,0.724,83,21,2025-09-14,2025-10-04
Wheat,Pune,Lokwan,Moving_Average_3Day,naive,20.603,26.929,0.801,83,21,2025-09-14,2025-10-04
Wheat,Pune,Lokwan,Linear_Regression,crop_specific,39.638,45.145,1.55,83,21,2025-09-14,2025-10-04
Wheat,Pune,Lokwan,Random_Forest_Crop_Specific,crop_specific,34.414,40.121,1.346,83,21,2025-09-14,2025-10-04
Wheat,Pune,Lokwan,XGBoost_Crop_Specific,crop_specific,26.537,31.884,1.034,83,21,2025-09-14,2025-10-04
Wheat,Pune,Lokwan,Random_Forest_Combined,combined,19.704,23.09,0.762,83,21,2025-09-14,2025-10-04
Wheat,Pune,Lokwan,XGBoost_Combined,combined,19.353,24.026,0.751,83,21,2025-09-14,2025-10-04
Wheat,Satara,Lokwan,Naive_Previous_Price,naive,13.429,15.492,0.624,82,21,2025-09-14,2025-10-04
Wheat,Satara,Lokwan,Moving_Average_3Day,naive,14.984,18.065,0.694,82,21,2025-09-14,2025-10-04
Wheat,Satara,Lokwan,Linear_Regression,crop_specific,37.393,45.206,1.725,82,21,2025-09-14,2025-10-04
Wheat,Satara,Lokwan,Random_Forest_Crop_Specific,crop_specific,21.674,25.699,1.003,82,21,2025-09-14,2025-10-04
Wheat,Satara,Lokwan,XGBoost_Crop_Specific,crop_specific,26.095,33.448,1.203,82,21,2025-09-14,2025-10-04
Wheat,Satara,Lokwan,Random_Forest_Combined,combined,12.773,15.454,0.593,82,21,2025-09-14,2025-10-04
Wheat,Satara,Lokwan,XGBoost_Combined,combined,15.803,19.7,0.735,82,21,2025-09-14,2025-10-04
